GROUPAMA ENTREPRISES R;DEU FLOATING RATE NOTES-TFC;PICTET USD SHORT MID TERM;FON/03/CH;ROBECO GLO CR SHT MAT-IH EUR;/03/ch Green Transition Bond;Robeco Climate Bond;JUPITER DYNAMIC BOND;/03/CH INTL-FAMILY BUSINESS;AMU CPR BANCA /03/CH IMP-REUR;Harrris Associates Global Equity;POLEN FOCUS US GROWTH-EUR IN;ROBECO BP US PREMIUM EQ/F;ELEVA EUROPEAN SELECTION;ROBECO SUS EUR STARS EQ-FEUR;ABERDEEN ASIA PAC EQUITY;GQG PARTNERS EM MKT EQ-I EUR;Fidelity Global Financials;M&G LUX GLOBAL LIST INF-ECIA;/03/CH NEXT G/01/RATION;NEUBERGER BERMAN UNCORRELATED STRATEGIES;DNCA INVEST ALPHA BONDS;/03/ch Alternative Strategies
510,54;102,8;132,74;9,82;100,02;8,61;85,1;12,52;12,25;112,63;140,39;17,01;378,4;197,39;201,82;12,73;14,59;17,86;15,85;11,9;9,39;121,53;9,87
510,32;102,68;133,59;9,79;99,75;8,57;84,76;12,4;12,16;112,41;141,11;16,81;376,99;196,92;200,86;12,86;14,72;17,26;16,16;11,83;9,44;121,45;9,86
509,88;102,56;134,73;9,73;98,85;8,42;83,01;12,08;12,12;111,27;138,57;16,56;371,57;194,24;199,86;12,53;14,51;16,51;15,85;11,45;9,46;121,16;9,84
509,47;102,46;134,06;9,71;98,87;8,3;82,79;11,89;11,97;110,32;136,45;16,55;369,18;191,76;197,21;12,69;14;16,51;15,5;11,35;9,43;121,4;9,83
509,1;102,35;131,83;9,61;97,96;8,2;81,54;11,76;11,96;107,93;133,54;16,28;360,8;188,83;193,75;12,77;13,68;17,55;15,15;11,13;9,47;120,96;9,8
508,69;102,26;132,38;9,62;97,84;8,18;81,58;11,78;11,92;107,23;134,09;16,02;358,85;187,02;190,54;12,72;13,73;17,36;15,13;11,01;9,52;120,81;9,79
508,32;102,13;134,46;9,58;97,25;8,12;80,7;11,59;11,73;105,51;131,51;15,7;358,64;181,44;186,79;12,39;13,71;17,48;14,61;10,66;9,59;120,39;9,75
507,92;102,05;134,03;9,6;97,44;8,07;80,85;11,55;11,78;105,02;133,2;15,48;356,06;180,45;185,85;12,4;13,51;16,9;14,87;10,58;9,56;120,75;9,76
507,53;101,94;135,34;9,54;96,74;7,94;79,63;11,37;11,37;101,01;126,97;14,5;345,83;175,06;180,82;12,03;13,16;17,71;14,45;10,17;9,75;119,93;9,81
507,15;101,88;134,92;9,51;96,38;7,88;79,05;11,32;11,52;102,34;129,88;15,01;358,49;176,97;181,58;12,1;13,31;17,28;14,26;10,43;9,71;119,49;9,8
